Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;02-Dec-2020
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;03-Dec-2020
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;04-Dec-2020
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;07-Dec-2020
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;08-Dec-2020
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;02-Dec-2020
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;03-Dec-2020
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;04-Dec-2020
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;07-Dec-2020
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;08-Dec-2020
139616;Taurus Unclaimed Dividend - Growth;;;13.8023;;;02-Dec-2020
139616;Taurus Unclaimed Dividend - Growth;;;13.8032;;;03-Dec-2020
139616;Taurus Unclaimed Dividend - Growth;;;13.8041;;;04-Dec-2020
139616;Taurus Unclaimed Dividend - Growth;;;13.8067;;;07-Dec-2020
139616;Taurus Unclaimed Dividend - Growth;;;13.8076;;;08-Dec-2020
139617;Taurus Unclaimed Redemption - Growth;;;13.8037;;;02-Dec-2020
139617;Taurus Unclaimed Redemption - Growth;;;13.8046;;;03-Dec-2020
139617;Taurus Unclaimed Redemption - Growth;;;13.8055;;;04-Dec-2020
139617;Taurus Unclaimed Redemption - Growth;;;13.8081;;;07-Dec-2020
139617;Taurus Unclaimed Redemption - Growth;;;13.8090;;;08-Dec-2020

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Baroda Mutual Fund
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;113.82;;;02-Dec-2020
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;114.06;;;03-Dec-2020
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;115.11;;;04-Dec-2020
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;115.80;;;07-Dec-2020
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;115.79;;;08-Dec-2020
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;31.72;;;02-Dec-2020
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;31.79;;;03-Dec-2020
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;32.08;;;04-Dec-2020
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;32.27;;;07-Dec-2020
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;32.27;;;08-Dec-2020
119354;BARODA MULTI CAP FUND - Plan B (Direct) - Growth Option;INF955L01AG0;;122.02;;;02-Dec-2020
