Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;02-Jun-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;03-Jun-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;04-Jun-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;07-Jun-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;08-Jun-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;02-Jun-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;03-Jun-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;04-Jun-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;07-Jun-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;08-Jun-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.9769;;;02-Jun-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.9780;;;03-Jun-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.9790;;;04-Jun-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.9820;;;07-Jun-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.9830;;;08-Jun-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.9782;;;02-Jun-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.9792;;;03-Jun-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.9802;;;04-Jun-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.9833;;;07-Jun-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.9843;;;08-Jun-2021

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Aditya Birla Sun Life Mutual Fund
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;INF209KB1Y49;;10.58;;;02-Jun-2021
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;INF209KB1Y49;;10.66;;;03-Jun-2021
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;INF209KB1Y49;;10.68;;;04-Jun-2021
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;INF209KB1Y49;;10.74;;;07-Jun-2021
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;INF209KB1Y49;;10.77;;;08-Jun-2021
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;INF209KB1Y56;;10.58;;;02-Jun-2021
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;INF209KB1Y56;;10.66;;;03-Jun-2021
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;INF209KB1Y56;;10.68;;;04-Jun-2021
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;INF209KB1Y56;;10.74;;;07-Jun-2021
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;INF209KB1Y56;;10.77;;;08-Jun-2021
