Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Growth )


Sahara Mutual Fund
120373;SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct;INF515L01AJ6;;84.1793;;;24-Dec-2019
120373;SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct;INF515L01AJ6;;83.6213;;;26-Dec-2019
120373;SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct;INF515L01AJ6;;84.7406;;;27-Dec-2019
109493;SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION;INF515L01494;;78.8987;;;24-Dec-2019
109493;SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION;INF515L01494;;78.3743;;;26-Dec-2019
109493;SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION;INF515L01494;;79.4227;;;27-Dec-2019
120374;SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct;INF515L01AH0;INF515L01AI8;28.4684;;;24-Dec-2019
120374;SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct;INF515L01AH0;INF515L01AI8;28.2793;;;26-Dec-2019
120374;SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct;INF515L01AH0;INF515L01AI8;28.6577;;;27-Dec-2019
109494;SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION;INF515L01478;INF515L01486;27.8758;;;24-Dec-2019
109494;SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION;INF515L01478;INF515L01486;27.6905;;;26-Dec-2019
109494;SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION;INF515L01478;INF515L01486;28.0609;;;27-Dec-2019
101529;Sahara Growth Fund-Dividend;INF515L01155;INF515L01163;45.4954;;;24-Dec-2019
101529;Sahara Growth Fund-Dividend;INF515L01155;INF515L01163;45.3701;;;26-Dec-2019
101529;Sahara Growth Fund-Dividend;INF515L01155;INF515L01163;45.891;;;27-Dec-2019
120288;Sahara Growth Fund-Dividend- Direct;INF515L01759;INF515L01767;46.421;;;24-Dec-2019
120288;Sahara Growth Fund-Dividend- Direct;INF515L01759;INF515L01767;46.2933;;;26-Dec-2019
120288;Sahara Growth Fund-Dividend- Direct;INF515L01759;INF515L01767;46.825;;;27-Dec-2019
101528;Sahara Growth Fund-Growth;INF515L01171;;156.6764;;;24-Dec-2019
101528;Sahara Growth Fund-Growth;INF515L01171;;156.2449;;;26-Dec-2019
