Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;18-Jan-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;19-Jan-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;20-Jan-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;21-Jan-2021
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;22-Jan-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;18-Jan-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;19-Jan-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;20-Jan-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;21-Jan-2021
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;22-Jan-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.8496;;;18-Jan-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.8505;;;19-Jan-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.8515;;;20-Jan-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.8524;;;21-Jan-2021
139616;Taurus Unclaimed Dividend - Growth;;;13.8533;;;22-Jan-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.8510;;;18-Jan-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.8519;;;19-Jan-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.8529;;;20-Jan-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.8538;;;21-Jan-2021
139617;Taurus Unclaimed Redemption - Growth;;;13.8547;;;22-Jan-2021

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Baroda Mutual Fund
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;122.34;;;18-Jan-2021
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;124.59;;;19-Jan-2021
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;125.30;;;20-Jan-2021
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;124.20;;;21-Jan-2021
102020;BARODA MULTI CAP FUND - Plan A - Growth Option;INF955L01674;;122.29;;;22-Jan-2021
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;34.10;;;18-Jan-2021
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;34.72;;;19-Jan-2021
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;34.92;;;20-Jan-2021
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;34.61;;;21-Jan-2021
102021;BARODA MULTI CAP FUND - Plan A - IDCW Option;INF955L01658;INF955L01666;34.08;;;22-Jan-2021
119354;BARODA MULTI CAP FUND - Plan B (Direct) - Growth Option;INF955L01AG0;;131.30;;;18-Jan-2021
